"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/1993","427.80","364.50","445.00","359.90","7.78K","17.30%"
"10/01/1993","364.70","315.00","364.70","294.50","7.59K","16.15%"
"09/01/1993","314.00","291.00","343.70","282.00","5.39K","7.72%"
"08/01/1993","291.50","287.80","315.60","256.90","5.95K","3.19%"
"07/01/1993","282.50","241.00","296.00","226.00","5.73K","22.56%"
"06/01/1993","230.50","267.50","289.80","223.00","8.05K","-13.35%"
"05/01/1993","266.00","327.50","332.90","234.00","5.10K","-18.85%"
"04/01/1993","327.80","389.00","396.50","314.80","5.52K","-17.84%"
"03/01/1993","399.00","441.00","493.50","399.00","5.48K","-9.48%"
"02/01/1993","440.80","308.50","447.70","308.50","4.37K","45.24%"
"01/01/1993","303.50","284.70","328.40","276.30","4.97K","6.83%"
"12/01/1992","284.10","252.00","284.70","238.00","7.86K","12.87%"
"11/01/1992","251.70","227.50","251.70","225.90","4.62K","10.25%"
"10/01/1992","228.30","213.00","229.80","210.50","6.20K","7.18%"
"09/01/1992","213.00","246.80","255.30","211.70","5.45K","-12.78%"
"08/01/1992","244.20","213.80","244.20","213.10","7.84K","14.17%"
"07/01/1992","213.90","238.50","238.60","207.60","6.14K","-10.73%"
"06/01/1992","239.60","229.00","249.60","227.20","8.68K","4.54%"
"05/01/1992","229.20","236.40","249.50","222.30","5.28K","-3.05%"
"04/01/1992","236.40","243.60","248.50","234.40","7.74K","-3.27%"
"03/01/1992","244.40","236.80","275.00","235.10","7.49K","2.95%"
"02/01/1992","237.40","243.50","249.20","228.40","7.87K","-2.94%"
"01/01/1992","244.60","203.60","245.60","203.50","7.04K","20.20%"
"12/01/1991","203.50","209.50","211.40","194.20","5.04K","-3.10%"
"11/01/1991","210.00","200.50","213.20","192.80","4.14K","5.16%"
"10/01/1991","199.70","194.80","209.00","187.20","7.29K","2.62%"
"09/01/1991","194.60","194.00","202.00","184.00","6.00K","-0.26%"
"08/01/1991","195.10","200.90","203.80","185.40","8.14K","-3.56%"
"07/01/1991","202.30","234.60","235.50","195.40","9.09K","-13.77%"
"06/01/1991","234.60","228.60","248.30","222.00","9.36K","2.40%"
"05/01/1991","229.10","185.80","231.40","180.00","6.50K","22.91%"
"04/01/1991","186.40","185.50","194.20","185.20","6.51K","0.87%"
"03/01/1991","184.80","170.00","189.80","167.60","3.98K","8.45%"
"02/01/1991","170.40","161.50","174.70","160.40","6.51K","5.06%"
"01/01/1991","162.20","172.50","173.80","157.00","4.33K","-6.41%"
"12/01/1990","173.30","152.80","175.50","152.80","5.88K","13.19%"
"11/01/1990","153.10","182.00","182.50","151.60","6.45K","-15.69%"
"10/01/1990","181.60","186.40","187.60","177.00","5.97K","-2.10%"
"09/01/1990","185.50","197.50","199.00","183.60","4.41K","-5.84%"
"08/01/1990","197.00","194.20","197.50","187.10","7.54K","1.29%"
"07/01/1990","194.50","204.70","204.70","186.50","7.48K","-5.40%"
"06/01/1990","205.60","203.50","207.70","201.60","8.15K","1.18%"
"05/01/1990","203.20","194.50","204.50","193.70","6.35K","4.90%"
"04/01/1990","193.70","197.50","199.90","191.20","8.63K","-2.27%"
"03/01/1990","198.20","198.00","198.50","188.00","6.90K","-0.10%"
"02/01/1990","198.40","203.00","210.70","195.20","10.58K","-1.93%"
"01/01/1990","202.30","189.90","208.90","187.50","11.49K","6.53%"
"12/01/1989","189.90","187.10","191.70","186.50","6.22K","1.28%"
"11/01/1989","187.50","181.00","188.10","180.50","5.40K","3.31%"
"10/01/1989","181.50","185.70","187.60","181.00","7.87K","-2.26%"
"09/01/1989","185.70","185.10","189.20","182.50","5.74K","0.49%"
"08/01/1989","184.80","190.60","191.20","181.80","8.86K","-2.69%"
"07/01/1989","189.90","181.20","193.50","180.20","7.81K","5.15%"
"06/01/1989","180.60","180.60","186.10","179.60","12.18K","-0.28%"
"05/01/1989","181.10","172.70","182.00","171.90","10.16K","3.78%"
"04/01/1989","174.50","183.20","188.20","170.30","14.17K","-4.90%"
"03/01/1989","183.50","181.30","184.60","171.10","7.00K","1.21%"
"02/01/1989","181.30","185.40","190.20","180.40","10.67K","-2.11%"
"01/01/1989","185.20","180.50","192.20","177.70","12.29K","2.21%"
"12/01/1988","181.20","175.90","183.20","173.60","9.74K","3.60%"
"11/01/1988","174.90","177.60","181.90","168.50","10.76K","-1.30%"
"10/01/1988","177.20","174.20","180.50","172.60","11.36K","1.66%"
"09/01/1988","174.30","178.30","183.40","170.00","11.36K","-1.97%"
"08/01/1988","177.80","183.50","184.00","169.30","16.17K","-3.21%"
"07/01/1988","183.70","205.00","205.10","182.80","14.37K","-9.51%"
"06/01/1988","203.00","198.80","210.30","191.50","15.37K","2.22%"
"05/01/1988","198.60","189.50","199.00","175.70","11.63K","4.47%"
"04/01/1988","190.10","187.80","195.70","186.60","12.88K","0.80%"
"03/01/1988","188.60","187.50","192.70","181.50","13.28K","0.59%"
"02/01/1988","187.50","193.60","201.40","187.40","16.11K","-2.14%"
"01/01/1988","191.60","193.20","199.40","177.90","13.83K","-0.67%"
"12/01/1987","192.90","182.00","199.00","180.60","14.68K","5.70%"
"11/01/1987","182.50","181.80","186.30","170.30","12.96K","0.00%"
"10/01/1987","182.50","184.60","190.80","171.60","17.59K","-0.98%"
"09/01/1987","184.30","218.90","218.90","183.60","13.53K","-14.44%"
"08/01/1987","215.40","187.30","219.70","186.50","19.56K","14.57%"
"07/01/1987","188.00","194.40","199.80","182.20","14.67K","-3.49%"
"06/01/1987","194.80","180.90","198.80","180.90","17.80K","7.68%"
"05/01/1987","180.90","184.50","193.70","176.10","10.94K","-2.69%"
"04/01/1987","185.90","189.00","193.90","178.80","20.21K","-3.38%"
"03/01/1987","192.40","204.60","210.10","187.50","17.80K","-5.96%"
"02/01/1987","204.60","189.00","212.30","187.70","20.55K","8.89%"
"01/01/1987","187.90","168.00","199.60","168.00","16.22K","12.45%"
"12/01/1986","167.10","179.50","189.50","166.10","14.71K","-7.32%"
"11/01/1986","180.30","183.70","201.80","168.30","13.95K","-1.42%"
"10/01/1986","182.90","173.20","183.30","163.10","18.28K","6.09%"
"09/01/1986","172.40","185.00","207.90","162.50","18.87K","-7.06%"
